url,Name,Abbrivation,Price,Change % 1D,Change 1D,High 1D,Low 1D,Technical Rating 1D
https://www.tradingview.com/markets/indices/quotes-all/,BAHRAIN ALL SHARE INDEX,BHBX,1951.732,+0.20%,3.992,1953.045,1948.218,Buy
https://www.tradingview.com/markets/indices/quotes-all/,EGX 30 PRICE RETURN INDEX,EGX30,25519.500,+1.96%,489.900,25563.400,25029.600,Strong buy
https://www.tradingview.com/markets/indices/quotes-all/,BOVESPA INDEX,IBOV,126575.75,+0.43%,540.45,126759.88,125763.78,Buy
https://www.tradingview.com/markets/indices/quotes-all/,S&P/BMV IPC MEXICO,ME,53059.54,+0.74%,389.53,53108.76,52738.19,Strong buy
https://www.tradingview.com/markets/indices/quotes-all/,S&P/BYMA ARGENTINA GENERAL PANEL MERVAL EQUITIES,IMV,878971.250,+4.81%,40354.620,885857.690,831176.250,Strong buy
https://www.tradingview.com/markets/indices/quotes-all/,INDICE DE CAPITALIZACION BURSATIL,ICAP,1127.81,−0.37%,−4.15,1134.77,1123.37,Buy
https://www.tradingview.com/markets/indices/quotes-all/,S&P IPSA,SP_IPSA,5807.190,+0.11%,6.620,5816.960,5770.950,Buy
https://www.tradingview.com/markets/indices/quotes-all/,S&P/BVL PERU GENERAL INDEX TR (PEN),SPBLPGPT,22137.480,+0.32%,71.150,22137.480,22053.760,Neutral
https://www.tradingview.com/markets/indices/quotes-all/,BUDAPEST STOCK INDEX,BUX,56511.84,−0.56%,−316.11,56876.99,56390.75,Neutral
https://www.tradingview.com/markets/indices/quotes-all/,COMPOSITE INDEX,GD,1260.52,+0.14%,1.78,1260.65,1254.50,Strong buy
https://www.tradingview.com/markets/indices/quotes-all/,BUCHAREST EXCHANGE TRADING,BET,14690.64,−0.27%,−40.16,14772.66,14683.53,Buy
https://www.tradingview.com/markets/indices/quotes-all/,IDX 30,IDX30,477.8610,+1.27%,5.9720,479.4670,474.0440,Buy
https://www.tradingview.com/markets/indices/quotes-all/,AEX,AEX,762.33,+0.30%,2.28,762.44,759.28,Buy
https://www.tradingview.com/markets/indices/quotes-all/,US SMALL CAP 3000,RUA,2601.9802,+0.44%,11.3653,2608.1069,2595.6659,Buy
https://www.tradingview.com/markets/indices/quotes-all/,Australia 200,AU200AUD,7057.2,+0.23%,16.0,7065.2,7032.2,Buy
https://www.tradingview.com/markets/indices/quotes-all/,US Wall St 30,US30USD,35299.5,+0.03%,9.5,35304.5,35281.0,Buy
https://www.tradingview.com/markets/indices/quotes-all/,ICE BOFAML U.S. BOND MARKET OPTION VOLATILITY ESTIMATE INDEX,MOVE,111.5719,−1.08%,−1.2205,112.7924,111.5719,Sell
https://www.tradingview.com/markets/indices/quotes-all/,CAC 40,CAC40,7277.94,+0.24%,17.20,7285.29,7263.67,Buy
https://www.tradingview.com/markets/indices/quotes-all/,GERMAN STOCK INDEX (DAX),DEU40,15994.72,+0.23%,36.91,16005.45,15958.06,Buy
https://www.tradingview.com/markets/indices/quotes-all/,NZX 50 INDEX,NZ50G,11180.05,−0.07%,−7.47,11201.69,11164.74,Buy
https://www.tradingview.com/markets/indices/quotes-all/,US SMALL CAP 2000,RUT,1795.5404,+0.69%,12.2774,1803.1166,1789.8768,Buy
https://www.tradingview.com/markets/indices/quotes-all/,Hong Kong 33,HK33HKD,17845.4,+0.91%,161.8,17953.8,17574.8,Buy
https://www.tradingview.com/markets/indices/quotes-all/,US SMALL CAP 1000,RUI,2497.5000,+0.66%,16.3488,2497.5000,2485.5000,Strong buy
https://www.tradingview.com/markets/indices/quotes-all/,PHLX OIL SERVICE SECTOR,OSX,83.00,−0.12%,−0.10,83.24,80.73,Sell
https://www.tradingview.com/markets/indices/quotes-all/,NYSE AMERICAN COMPOSITE,XAX,4604.1732,−0.12%,−5.7123,4609.8856,4519.9840,Buy
https://www.tradingview.com/markets/indices/quotes-all/,PHLX UTILITY SECTOR,UTY,790.70,+0.23%,1.84,791.43,784.96,Buy
https://www.tradingview.com/markets/indices/quotes-all/,PHLX HOUSING SECTOR,HGX,570.25,+0.51%,2.90,574.71,568.29,Buy
